test_id,wafer_id,die_id,equipment_id,test_station,process_corner,supply_voltage,output_voltage,current,leakage_current,resistance,capacitance,threshold_voltage,frequency,propagation_delay,setup_time,hold_time,timing_margin,temperature,thermal_delta,dynamic_power,static_power,total_power,ambient_temperature,test_duration,test_cycle,result,defect_type
TST-000001,WFR-02,DIE-0814,EQP-105,STN-02,FF,1.2316,1.2076,45.3491,165.2907,13.2279,4.0709,0.444,2853.35,10.9466,0.7877,0.4097,2.2843,26.48,1.48,55.2077,0.20357,55.37614,25,149.85,3,PASS,NORMAL
TST-000002,WFR-03,DIE-1527,EQP-105,STN-04,SF,1.2057,1.187,46.3787,139.4206,12.6793,4.3542,0.4563,2523.24,12.4036,0.8289,0.4271,2.6201,28.37,3.37,52.439,0.1681,52.60862,25,147.41,1,PASS,NORMAL
TST-000003,WFR-04,DIE-2240,EQP-101,STN-02,SS,1.22,1.1912,45.2658,134.6691,12.6716,4.1016,0.4827,2347.31,13.1055,0.8668,0.4423,3.0685,26.3,1.3,54.5305,0.1643,54.73772,25,148.05,5,PASS,NORMAL
TST-000004,WFR-05,DIE-2903,EQP-105,STN-04,SF,1.2169,1.1926,46.4685,130.6096,12.4282,4.1171,0.4442,2618.27,11.9094,0.8617,0.4096,2.5062,29,4,56.4375,0.15894,56.66946,25,143.81,1,PASS,NORMAL
TST-000005,WFR-06,DIE-3616,EQP-103,STN-04,FS,1.1995,1.1743,44.4309,150.9924,12.1967,4.1903,0.4432,2514.14,12.5852,0.8519,0.4201,2.4729,27.68,2.68,54.5083,0.18112,54.68905,25,146.63,3,PASS,NORMAL
TST-000006,WFR-07,DIE-4329,EQP-102,STN-02,TT,1.2088,1.1843,46.0032,115.9506,13.1215,4.3887,0.4384,2544.01,12.224,0.807,0.4151,2.6922,27.89,2.89,55.1334,0.14016,55.25497,25,147.65,4,PASS,NORMAL
TST-000007,WFR-08,DIE-5042,EQP-101,STN-01,SF,1.1904,1.1748,44.9498,117.4072,12.3166,4.0441,0.4611,2518.34,12.9334,0.8543,0.4078,2.0958,27.5,2.5,49.6232,0.13976,49.81917,25,145.97,2,PASS,NORMAL
TST-000008,WFR-09,DIE-0705,EQP-101,STN-02,TT,1.1878,1.1594,44.4793,139.3824,12.7903,4.2182,0.4593,2409.93,12.5804,0.8706,0.4043,3.147,27.73,2.73,53.74,0.16556,53.90272,25,153.92,2,PASS,NORMAL
TST-000009,WFR-10,DIE-1418,EQP-102,STN-02,TT,1.2161,1.1929,45.9437,109.7838,12.9185,4.338,0.4528,2561.75,12.248,0.8574,0.426,2.5089,26.01,1.01,57.3052,0.13351,57.42934,25,150.52,5,PASS,NORMAL
TST-000010,WFR-11,DIE-2131,EQP-105,STN-03,TT,1.1719,1.1452,46.2694,131.4446,12.1079,4.1635,0.443,2407.95,13.0816,0.8468,0.4017,2.6832,26.78,1.78,52.6181,0.15404,52.70304,25,143.65,4,FAIL,LOW_VOLTAGE
